"06141GN5505";"CAM CHAIN KIT";"44000";"17";"5";"4"
"06141KVB505";"CAM CHAIN KIT";"92500";"17";"5";"7"
"06141KWB505";"CAM CHAIN KIT";"53500";"17";"5";"1"
"061A1KEH003";"GASKET KIT A";"51000";"17";"5";"1"
"061A1KFL003";"GASKET KIT A";"55000";"17";"5";"3"
"061A1kph003";"GASKET KIT A";"62000";"17";"5";"1"
"061A1KVY003";"GASKET KIT A";"130000";"17";"5";"1"
"061B1KEH003";"GASKET KIT B";"57000";"17";"5";"1"
"061B1KFL003";"GASKET KIT B";"58000";"17";"5";"1"
"061B1KPH003";"GASKET KIT B";"49000";"17";"5";"1"
"061B1KVY003";"GASKET KIT B";"51000";"17";"5";"1"
"06381KPH900";"ROD KIT CONNECTING";"230000";"17";"5";"2"
"06401K15900";"DRIVE CHAIN KIT";"287500";"17";"5";"3"
"06401K18900";"DRIVE CHAIN KIT";"255500";"17";"5";"2"
"06401K41N01";"DRIVE CHAIN KIT";"164000";"17";"5";"1"
"06401K45N01";"DRIVE CHAIN KIT";"284000";"17";"5";"2"
"06401K56N00";"DRIVE CHAIN KIT";"254000";"17";"5";"2"
"06401KCJ691";"DRIVE CHAIN KIT";"375000";"17";"5";"1"
"06401KEV881";"DRIVE CHAIN KIT";"176000";"17";"5";"8"
"06401KPH881";"DRIVE CHAIN KIT";"151000";"17";"5";"2"
"06401ktl700";"DRIVE CHAIN KIT";"176000";"17";"5";"9"
"06401KWB900";"DRIVE CHAIN KIT";"163500";"17";"5";"3"
"06401KWC900";"DRIVE CHAIN KIT";"278000";"17";"5";"2"
"06401KWW900";"DRIVE CHAIN KIT";"154000";"17";"5";"2"
"06401KYE900";"DRIVE CHAIN KIT";"274500";"17";"5";"1"
"06401KYZ900";"DRIVE CHAIN KIT";"179000";"17";"5";"2"
"06435K07901";"PAD SET RR";"43500";"17";"5";"3"
"06435K56N01";"PAD SET, RR.";"71500";"17";"5";"1"
"06435KPP901";"PAD SET RR";"43000";"17";"5";"4"
"06435KSPB01";"PAD SET RR";"58000";"17";"5";"3"
"06455K56N01";"PAD SET, FR. BRAKE";"51000";"17";"5";"3"
"06455KPPN01";"PAD SET FR";"55000";"17";"5";"3"
"06455KR3404";"PAD SET FR (NA)";"46000";"17";"5";"2"
"06455KVB401";"PAD SET FR (NA)";"48500";"17";"5";"7"
"06455KVBT01";"PAD SET FR";"51000";"17";"5";"18"
"06455KVY911";"PAD SET FR";"45500";"17";"5";"7"
"06455KWB601";"PAD SET FR";"46000";"17";"5";"2"
"06455KWC901";"PAD SET FR";"53000";"17";"5";"8"
"06535GN5505";"RACE STEERING KIT";"82000";"17";"5";"4"
"06535KTR900";"RACE STEERING KIT";"90000";"17";"5";"3"
"0702S002000IN";"O2 SENSOR WRENCH";"80000";"17";"5";"1"
"074060050000IN";"Fuel Pump Remover";"171000";"17";"5";"1"
"08000k25GRED";"ACC BEAT SPORT RED";"340000";"17";"5";"2"
"08000K25SLV";"ACC KIT BEAT FI SILVER";"340000";"17";"5";"1"
"08000K45REP";"PAKET ACC CBR150R";"900000";"17";"5";"2"
"08000K59GUN";"ACC KIT GUN METAL";"750000";"17";"5";"2"
"08000KVYVRED";"PAKET ACC BEAT 2";"344000";"17";"5";"6"
"08000KZLGRED";"PAKET ACC SPACY";"351000";"17";"5";"1"
"08000KZLGSLV";"PAKET ACC SPACY";"351000";"17";"5";"2"
"08000KZRA00";"ACC KIT VAR125";"395000";"17";"5";"5"
"0800AK56F00 ";"KITA A NEW SUPRA 150";"525000";"17";"5";"3"
"08100KVYZRED";" AKSESORIS KIT BEAT";"344000";"17";"5";"2"
"08100KVYZSLV";"  AKSESORIS KIT BEAT";"344000";"17";"5";"2"
"082322MAU0JN3";" OLI MPX3 20W40 0,8L";"34000";"17";"5";"182"
"082322MBK8JN1";" SCOOTER GEAR OIL";"12000";"17";"5";"66"
"08232M99K1JN1";" OLI MPX2 10W30 0,8L";"39500";"17";"5";"938"
"08232M99K8JN1";" OLI MPX1 10W30 1L";"44500";"17";"5";"45"
"08232M99K8JN9";" OLI MPX1 10W30 0,8L";"37500";"17";"5";"64"
"08234M99K0JN9";" OLI SPX1 10W30 0,8L";"46500";"17";"5";"47"
"08234M99K1JN9";" OLI SPX1 10W30 1L REP";"52500";"17";"5";"53"
"08500M99K8JN1";" OLI MPX1 10W30 1,2L";"52500";"17";"5";"94"
"08600M99K1JN9";"OLI SPX1 10W30 1,2L";"62000";"17";"5";"33"
"08CLAH50500";"   HONDA M/C GENUINE";"17500";"17";"5";"26"
"08F44K61A00";"   COVER FAN POP";"67000";"17";"5";"2"
"08F44K81AGRE";"  COVER FAN SPORTY";"67000";"17";"5";"1"
"08F44KVYVSLV";" GARNISH FAN SILVER";"70000";"17";"5";"4"
"08F47KYT700C";"  KIT TAIL LIGHT GARN";"84000";"17";"5";"2"
"08F47KYT720A";"  KIT HEAD LIGHT";"84000";"17";"5";"2"
"08F71KWB710E";" MAIN PIPE CVR GAR";"85000";"17";"5";"1"
"08F71KWB710F";" MAIN PIPE CVR GAR";"85000";"17";"5";"1"
"08F73KWB710E";"CENTER CVR GAR R/BLU";"90000";"17";"5";"1"
"08F73KWB710F";"CENTER CVR GAR L/BLU";"90000";"17";"5";"1"
"08F81KVB710C";"KEY SHUTTER CVR BLU";"10000";"17";"5";"1"
"08F86KWB710E";"HANDLE RR CVR GAR";"55000";"17";"5";"1"
"08F86KWB710F";"HANDLE RR CVR GAR";"55000";"17";"5";"1"
"08F86KYT740X";"KIT METER RING SILVER";"105000";"17";"5";"2"
"08F88K61A00";"COVER MUFFLER POP";"120000";"17";"5";"2"
"08G00K16RCRO";"ACC KIT SCOOPY GARN";"295000";"17";"5";"1"
"08R00K56F00";"HAND REST GRIP GTR";"77000";"17";"5";"3"
"08R80KWB710A";"METER VISOR BLUE";"128000";"17";"5";"1"
"08R80KYT700";"KIT METER VISOR";"74000";"17";"5";"1"
"08S10K56F00";"WIND SHIELD GTR";"340000";"17";"5";"1"
"08Z50KVY720B";"BEAT MACHO BLACK";"380000";"17";"5";"3"
"1110-94";"SPOKE SET";"22000";"17";"5";"2"
"11103KVB930";"11103KVB901";"16000";"17";"5";"14"
"11108KVB900";"PLATE BEARING SET";"4000";"17";"5";"8"
"11203KVB901";"UNDER RUBBER BUSH";"13000";"17";"5";"6"
"11330KYE900";"COVER COMP. R CRANK";"215000";"17";"5";"1"
"11341KVY960";"COVER L CRANK CASE";"260000";"17";"5";"1"
"11370K07900";"PROTECTOR COMP R";"26000";"17";"5";"1"
"11370KPH880";"PROTECTOR R COVER";"76000";"17";"5";"1"
"11393KGH901";"GASKET R COVER";"22500";"17";"5";"1"
"11393KWK900";"GASKET R COVER";"27500";"17";"5";"1"
"11395KGH901";"GASKET L COVER";"8000";"17";"5";"1"
"11395KVY901";"GASKET L COVER";"34500";"17";"5";"1"
"11395KWK900";"GASKET L COVER";"8000";"17";"5";"1"
"12191GGC900";"GASKET CYLINDER";"7000";"17";"5";"1"
"12191K44V00";"GASKET, CYLINDER";"7500";"17";"5";"1"
