"06141KVB505","5","7"
"06401KEV881","7","8"
"06401KWW900","1","2"
"06401KYZ900","1","2"
"06435KSPB01","4","3"
"06455KVBT01","17","18"
"06455KWB601","1","2"
"06455KWC901","7","8"
"06535GN5505","2","4"
"06535KTR900","1","3"
"08CLAH50500","22","26"
"12361035000","16","15"
"17210K03N30","3","11"
"17210K16900","18","22"
"17210KPH900","4","5"
"17210KZLA00","8","19"
"17211K18900","2","3"
"17572GGLJ00","3","4"
"17518GGLJ00","3","4"
"22011GCC770","16","19"
"22100K25900","1","2"
"22105KVY960","5","6"
"22401KVY900","18","21"
"22535KZLA00","2","3"
"22870KCJ690","1","2"
"23100KVYBA1","10","11"
"23100KZLBA0","9","10"
"23100K44V01","1","2"
"23100K36J02","6","5"
"31600KRS971","1","2"
"31916KRM841","27","29"
"31926KRM842","24","34"
"34901K18901","1","2"
"34901KFVB51","20","23"
"34905GM9003","7","9"
"34906GB6921","4","7"
"34906KET940","3","7"
"34908GA7701","6","7"
"35170KYZ901","4","5"
"35190KWN902","1","2"
"37800KVY961","22","2"
"38110KTM851","7","8"
"42711KWW010","2","3"
"43125KPH903","10","12"
"43130KZL930","54","60"
"44711KWB922","3","5"
"44711KWW010","1","2"
"44712KZT901","1","2"
"44830KVY721","8","11"
"45530KVY911","4","5"
"51401KYE901","1","2"
"51490GN5305","4","6"
"53175KSPB51","1","2"
"53178K25910","3","2"
"53206KWB920","1","3"
"53209GAH000","5","4"
"64100KCJ660","1","2"
"64560K03N30ZA","1","4"
"90131883000","20","19"
"91202KJ9003","8","9"
"91202KVB901","11","12"
"9805657723","8","9"
"9806786871","4","8"
"HBF50ML","12","13"
"ACG10GR","13","15"
"ACL70ML","27","28"
"SS8175ML","17","18"
